date,symbol,expiry,strike,option_type,open,high,low,close,settle_price,underlying_price,open_interest,oi_change,volume
2024-12-02,NIFTY,2025-03-27,23000.0,CE,1800.0,2018.0,1769.15,1981.1,1981.1,24276.05,171350.0,-100.0,306.0
2024-12-02,NIFTY,2024-12-12,23000.0,PE,16.0,21.8,12.0,13.1,13.1,24276.05,749525.0,235100.0,76449.0
2024-12-02,NIFTY,2025-01-30,23000.0,CE,1457.85,1713.7,1455.25,1681.3,1681.3,24276.05,91925.0,1100.0,306.0
2024-12-02,NIFTY,2024-12-19,23550.0,CE,0.0,0.0,0.0,945.65,845.95,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,23550.0,CE,1138.8,1138.8,1138.8,1138.8,1155.3,24276.05,4075.0,25.0,1.0
2024-12-02,NIFTY,2025-02-27,23000.0,CE,0.0,0.0,0.0,1604.65,1763.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-02-27,24550.0,CE,0.0,0.0,0.0,693.75,709.55,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2026-12-31,23000.0,PE,710.0,710.0,625.0,625.0,625.0,24276.05,12425.0,-25.0,7.0
2024-12-02,NIFTY,2024-12-19,24550.0,PE,455.1,455.1,368.5,376.5,376.5,24276.05,1375.0,875.0,47.0
2024-12-02,NIFTY,2028-12-28,23000.0,CE,0.0,0.0,0.0,6377.6,7134.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2027-12-30,23000.0,PE,0.0,0.0,0.0,2201.3,362.25,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,24550.0,CE,74.0,158.45,62.85,138.55,138.55,24276.05,85850.0,20800.0,20544.0
2024-12-02,NIFTY,2025-02-27,23550.0,CE,0.0,0.0,0.0,1228.3,1332.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,24550.0,PE,522.0,540.35,370.0,393.55,393.55,24276.05,47375.0,14425.0,2425.0
