TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-05-29,2025-05-29,FO,NSE,IDO,62188,,NIFTY,,2025-06-26,2025-06-26,22200.0,PE,NIFTY25JUN22200PE,16.5,23.75,11.55,12.05,11.85,20.15,24833.6,12.05,72600,-11325,822,1369504237.5,631,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,62204,,NIFTY,,2025-06-26,2025-06-26,22600.0,PE,NIFTY25JUN22600PE,28.45,34.0,17.85,18.4,17.95,32.35,24833.6,18.4,95475,-13800,3313,5621112708.75,2022,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,62298,,NIFTY,,2025-06-26,2025-06-26,23100.0,PE,NIFTY25JUN23100PE,48.85,50.8,32.35,33.95,34.65,59.35,24833.6,33.95,208950,14700,4275,7419411363.75,2405,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,62324,,NIFTY,,2025-06-26,2025-06-26,23350.0,PE,NIFTY25JUN23350PE,63.0,63.0,46.0,46.85,47.0,78.05,24833.6,46.85,8250,750,331,581033767.5,125,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,62354,,NIFTY,,2025-06-26,2025-06-26,24100.0,PE,NIFTY25JUN24100PE,172.55,174.5,129.9,136.75,129.9,194.85,24833.6,136.75,300675,43125,6140,11167887048.75,3870,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,62420,,NIFTY,,2025-06-26,2025-06-26,25450.0,PE,NIFTY25JUN25450PE,693.95,765.6,690.05,699.35,690.05,783.0,24833.6,699.35,10875,-75,37,72654585.0,27,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,62428,,NIFTY,,2025-06-26,2025-06-26,25650.0,PE,NIFTY25JUN25650PE,835.25,840.35,834.75,835.7,840.35,931.75,24833.6,835.7,3000,75,9,17877851.25,9,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,62460,,NIFTY,,2025-06-26,2025-06-26,26150.0,PE,NIFTY25JUN26150PE,1218.55,1218.55,1218.0,1218.3,1218.0,1323.85,24833.6,1218.3,1725,150,2,4105241.25,2,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,62504,,NIFTY,,2025-06-26,2025-06-26,26750.0,PE,NIFTY25JUN26750PE,0.0,0.0,0.0,1786.55,1786.55,1786.55,24833.6,1826.75,900,0,0,0.0,0,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,56090,,NIFTY,,2025-07-03,2025-07-03,23250.0,PE,NIFTY2570323250PE,0.0,0.0,0.0,99.65,0.0,99.65,24833.6,53.7,0,0,0,0.0,0,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,56158,,NIFTY,,2025-07-03,2025-07-03,23400.0,PE,NIFTY2570323400PE,0.0,0.0,0.0,123.2,0.0,123.2,24833.6,69.35,0,0,0,0.0,0,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,56230,,NIFTY,,2025-07-03,2025-07-03,23650.0,PE,NIFTY2570323650PE,0.0,0.0,0.0,171.65,0.0,171.65,24833.6,103.3,0,0,0,0.0,0,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,56594,,NIFTY,,2025-07-03,2025-07-03,24700.0,PE,NIFTY2570324700PE,0.0,0.0,0.0,414.85,414.85,414.85,24833.6,397.35,0,0,0,0.0,0,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,57536,,NIFTY,,2025-07-03,2025-07-03,26000.0,PE,NIFTY2570326000PE,0.0,0.0,0.0,1372.65,0.0,1372.65,24833.6,1185.35,0,0,0,0.0,0,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,58033,,NIFTY,,2025-07-03,2025-07-03,26050.0,PE,NIFTY2570326050PE,0.0,0.0,0.0,1412.4,0.0,1412.4,24833.6,1224.2,0,0,0,0.0,0,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,58697,,NIFTY,,2025-07-03,2025-07-03,26300.0,PE,NIFTY2570326300PE,0.0,0.0,0.0,1617.4,0.0,1617.4,24833.6,1426.0,0,0,0,0.0,0,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,55674,,NIFTY,,2025-07-31,2025-07-31,22300.0,PE,NIFTY25JUL22300PE,62.0,63.95,49.7,52.3,51.4,71.75,24833.6,52.3,142200,-825,514,861860460.0,230,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,55678,,NIFTY,,2025-07-31,2025-07-31,22400.0,PE,NIFTY25JUL22400PE,75.0,75.0,56.5,60.65,56.5,82.0,24833.6,60.65,119700,1275,401,675674985.0,207,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,55746,,NIFTY,,2025-07-31,2025-07-31,23700.0,PE,NIFTY25JUL23700PE,210.0,214.2,180.3,188.7,187.55,229.1,24833.6,188.7,27525,5250,229,410521698.75,105,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,55748,,NIFTY,,2025-07-31,2025-07-31,23750.0,PE,NIFTY25JUL23750PE,221.65,221.65,208.25,219.85,219.85,245.05,24833.6,218.6,4800,-75,3,5392481.25,3,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,55776,,NIFTY,,2025-07-31,2025-07-31,24400.0,PE,NIFTY25JUL24400PE,372.65,396.85,347.3,356.2,347.3,410.25,24833.6,356.2,27225,300,261,484856392.5,171,F1,75,,,,,
2025-05-29,2025-05-29,FO,NSE,IDO,55782,,NIFTY,,2025-07-31,2025-07-31,24550.0,PE,NIFTY25JUL24550PE,401.5,401.5,401.5,401.5,401.5,461.4,24833.6,401.5,6450,75,1,1871362.5,1,F1,75,,,,,
